from кто	 to 	сто	 distance == 1
from встокъ	 to 	востокъ, стокъ	 distance == 1
from тоже	 to 	ложе	 distance == 1
from из	 to 	и, изъ	 distance == 1
from тый	 to 	тай, той	 distance == 1
from братръ	 to 	братъ	 distance == 1
from свои	 to 	вои, свой	 distance == 1
from то	 to 	о, бо, до, по, но, сто, той	 distance == 1
from тꙑ	 to 	о, у, ити, бы, бо, до, да, въ, яти, тай, къ, за, же, по, ли, не, на, но, ни, се, съ, сто, тля, и, три, отъ, а, той	 distance == 2
from овъ	 to 	оръ, объ, въ, ово, ровъ, ковъ, ловъ, зовъ, отъ, авъ	 distance == 1
from идти	 to 	ити	 distance == 1
from прийти	 to 	прияти, приити	 distance == 1
from всхотѣти	 to 	восхотѣти	 distance == 1
from приключаи	 to 	приключение, приключатися, привлачати, прилучай	 distance == 3
from себе	 to 	сербъ, еще, фее, еле, неже, сице, се, село, сей, небо, семей	 distance == 2
from тгда	 to 	тогда, егда, туда	 distance == 1
from взлюбити	 to 	возлюбити	 distance == 1
from таже	 to 	тамже, даже	 distance == 1
from что	 to 	сто	 distance == 1
from отець	 to 	отецъ	 distance == 1
from кто	 to 	сто	 distance == 1
from взложити	 to 	изложити, возложити, вложити	 distance == 1
from безаконникъ	 to 	беззаконникъ	 distance == 1
from конець	 to 	конецъ	 distance == 1
from етеръ	 to 	тиръ, деитеръ, вечеръ, аферъ, иетевъ, иетуръ, тернъ, езеро, едемъ, ефесъ, тефъ, шатеръ, чтецъ, ящеръ, отецъ	 distance == 2
from онъ	 to 	оръ, сонъ, объ, отъ, вонъ	 distance == 1
from врѣменный	 to 	временный	 distance == 1
from первѣе	 to 	перие, вервие, первый	 distance == 2
from княжити	 to 	пряжити, множити	 distance == 2
from сий	 to 	кий, сей, чий	 distance == 1
from симъ	 to 	римъ, сомъ, самъ	 distance == 1
from хамъ	 to 	тамъ, вамъ, храмъ, самъ	 distance == 1
from афетъ	 to 	аферъ, афекъ	 distance == 1
from шест тысячь	 to 	шестьдесятъ, честитися	 distance == 5
from шестдесятъ	 to 	шестьдесятъ	 distance == 1
from почати	 to 	почути, почити, пожати, поучати, подати	 distance == 1
from володѣти	 to 	олядѣти, оледѣти	 distance == 2
from усобица	 to 	узница, сугубица, осмица, улица, гусеница, кожица, гробница, ослица, обида, сулица, сонмица, корица, сторица, рыбица, удица, козица, ложица, вдовица, асофита, тморица, усобный, троица, убийца, столица, угодница, сѣница, двоица, сотница, удобие, ученица	 distance == 3
from урмане	 to 	уриинъ, аррань, зане, соманъ, амманъ, арканъ, ржание, уимати, усмарь, ранѣе, армазъ, вранъ, ермонъ, ерма, уне, орание, умно, умнѣ, ухание, ермонь, рано, обманъ, урѣзание, аммань, дремание, органъ, умѣние, уронъ, мание, рана, брань	 distance == 3
from англяне	 to 	глина, окаляние, анань, аналой, анунъ, мгляный, налящи, агнъ, аилонъ, углие, ания, алонь, поляна, ангеловъ, аннинъ, аггинъ, агня, онгия, аналогъ, алланъ, алчно, ангелъ	 distance == 4
from словѣнинъ	 to 	славянинъ	 distance == 2
from кривичи	 to 	красити, окрилити, крѣпити, прилити, живити, оживити, критикъ, кичити, прибити, кривый, правити, дивити, кроити, приличие, кропити, кивати, удивити, приити, кравий, привнити, кричати	 distance == 3
from нашь	 to 	нашъ	 distance == 1
from нарядъ	 to 	нардъ, наряду, народъ	 distance == 1
from рюрикъ	 to 	крикъ	 distance == 2
from синеусъ	 to 	сихемъ, сикеръ, синаинъ, саннисъ, искусъ, синодъ, иерусъ, индисъ, самусъ, гнусъ, синдонъ, хиниксъ, финиксъ, сивелъ, кинеевъ, танеосъ, синета, синаитъ, еинухъ, минеонъ, свинецъ, тунгусъ	 distance == 3
from бѣлоозеро	 to 	бѣлоносецъ	 distance == 4
from изборескъ	 to 	избости, борецъ, изворотъ, избытокъ, избодение, соборникъ, блескъ, боровскъ, поборникъ, изоустъ, имярекъ, сборникъ	 distance == 4
from труворъ	 to 	турокъ, страторъ, трупъ, аворъ, трезвонъ, затворъ, хуторъ, арвокъ, риторъ, яворъ, трусъ, руфовъ, фаворъ, арусовъ, авувовъ, мраморъ, говоръ, деворъ, ховоръ, притворъ, дворъ, преводъ, потворъ, струфовъ, акувовъ, турвонъ, труллъ, призоръ, трудъ, иоворъ, асувовъ, аравофъ, укоръ	 distance == 3
from прѣже	 to 	прежде, позже, идѣже, прѣние, пружие	 distance == 2
from новгородець	 to 	новгородъ	 distance == 3
from умрѣти	 to 	узрѣти, умѣти, умрети	 distance == 1
from мужь	 to 	мужъ	 distance == 1
from полотескъ	 to 	полотскъ	 distance == 1
from другый	 to 	другий	 distance == 1
from находникъ	 to 	сходникъ	 distance == 2
from меря	 to 	мерра, маръ, мега, мечь, миро, мета, буря, миръ, миры, темя, медъ, верея, теля, заря, бера, море, моръ, фера, пря, мѣра	 distance == 2
from мурома	 to 	муромъ	 distance == 1
from вратити	 to 	вражити, тратити	 distance == 1
from вставити	 to 	ставити, уставити, оставити	 distance == 1
from ти	 to 	ити, яти, ли, ни, и, три	 distance == 1
from бояринъ	 to 	боляринъ	 distance == 1
from цѣсарградъ	 to 	царьградъ	 distance == 3
from днѣпръ	 to 	нѣтъ, деиръ, гнѣвъ, кипръ, вѣтръ, давиръ, даръ, анеиръ, онагръ, деворъ, дворъ, копръ, хѣръ, снѣгъ, снопъ, нѣдро, дѣдъ	 distance == 3
from градокъ	 to 	градъ, предокъ, градежъ, гадовъ, градецъ	 distance == 2
from впрашати	 to 	украшати, вращати, прамати, выражати, впадати, вопрошати	 distance == 2
from щекъ	 to 	жукъ, ящикъ, уецъ, тукъ, грекъ, вефъ, левъ, мескъ, къ, безъ, вѣкъ, ленъ, бефъ, лукъ, ежъ, амекъ, гелъ, гефъ, ликъ, медъ, такъ, шелкъ, бокъ, токъ, ледъ, тефъ, песъ, ящеръ, афекъ, щитъ, щуръ, сокъ	 distance == 2
from мы	 to 	бы	 distance == 1
from козаре	 to 	козарь	 distance == 1
from асколдъ	 to 	оскордъ, расколъ	 distance == 2
from диръ	 to 	тиръ, жиръ, деиръ, дира, даръ, миръ, адиръ, пиръ	 distance == 1
from владѣти	 to 	овладѣти	 distance == 1
from полский	 to 	польский, ползкий	 distance == 1
from седмдесятъ	 to 	уседмеряти, осмьдесятъ, седмьнадесять, пятьдесятъ, шестьдесятъ, седмодесятный	 distance == 4
from четырнадесять	 to 	четыренадесять	 distance == 1
from михаилъ	 to 	михеинъ, еихаитъ, михаевъ, михинъ, михаиловъ	 distance == 2
from цѣсарь	 to 	кесарь, царь, писарь	 distance == 2
from отити	 to 	чтити, ожити, отшити, отыти, обити	 distance == 1
from хрестиянинъ	 to 	христианинъ	 distance == 2
from оступити	 to 	соступити, вступити, уступити, ступити, острупити, поступити, отступити, обступити	 distance == 1
from фотий	 to 	отчий, отай, божий, болий, козий, фотъ, сотый	 distance == 2
from церки	 to 	перси	 distance == 2
from влахерна	 to 	влахерны	 distance == 1
from скупити	 to 	купити, скопити, ступити, искупити	 distance == 1
from не быти	 to 	небытие	 distance == 2
from сꙑнъ	 to 	сонъ, санъ, сынъ	 distance == 1
from погрести	 to 	погребсти	 distance == 1
from божествный	 to 	божественный	 distance == 2
from засобь	 to 	засовъ, особь, занонь	 distance == 2
from приврѣщи	 to 	прирещи, призрѣти, привлещи, припрящи	 distance == 2
from взвратити	 to 	возвратити, извратити	 distance == 1
from осмдесятъ	 to 	осмьдесятъ	 distance == 1
from олегъ	 to 	онега, левъ, слогъ, шлемъ, овенъ, оле, орлецъ, ленъ, плугъ, членъ, орелъ, долгъ, ледъ, ночлегъ, алефъ, брегъ, омега, оселъ, оцетъ, ометъ, лугъ, плевъ, отецъ	 distance == 2
from меря	 to 	мерра, маръ, мега, мечь, миро, мета, буря, миръ, миры, темя, медъ, верея, теля, заря, бера, море, моръ, фера, пря, мѣра	 distance == 2
from смольнескъ	 to 	смоленскъ	 distance == 2
from устрои	 to 	устроити, устрояти, устрещи, утро	 distance == 2
from писмя	 to 	письмя	 distance == 1
from вашь	 to 	вашъ	 distance == 1
from потомь	 to 	потому, потомъ	 distance == 1
from оттуда	 to 	оттуду, откуда	 distance == 1
from похоронити	 to 	покропити, охромити, прогонити, попросити, сохранити, плодородити, построити, поклонити, подклонити, охранити, богородити, опорочити, походити, покорити, породити	 distance == 3
from лодя	 to 	луда, ложе, ложь, годъ, годѣ, плодъ, родъ, лоно, вода, лида, ходъ, лодиа, лоза, дядя, воля, ладия, ловъ, подъ, лобъ, ледъ, воня, людъ	 distance == 2
from назади	 to 	назадъ	 distance == 1
from игорь	 to 	иго, гора, горе, игра, сигоръ, якорь	 distance == 2
from угорское	 to 	удорский, югорский, угорение, горский, горько	 distance == 3
from диръ	 to 	тиръ, жиръ, деиръ, дира, даръ, миръ, адиръ, пиръ	 distance == 1
from княжичь	 to 	княжь	 distance == 2
from нъ	 to 	въ, къ, не, на, но, ни, съ	 distance == 1
from рюриковъ	 to 	сориховъ, иериховъ, рувимовъ, сосиковъ, марковъ, борифовъ, ахаиковъ, арифовъ, иоримовъ, иаривовъ, прикровъ, карифовъ, юриевъ, финиковъ	 distance == 3
from кдѣ	 to 	гдѣ, здѣ	 distance == 1
from олминый	 to 	ослиный	 distance == 2
from никола	 to 	икона, школа, никогда, никеа, никуда, ника	 distance == 2
from дировъ	 to 	тировъ, ировъ, сировъ, кировъ, нировъ	 distance == 1
from орина	 to 	вина, глина, долина, овинъ, обида, година, община, мина, слина, корица, риза, гортина, корона, сина, тина, длина, гривна, родина, тризна, опона, кринъ, узина, зарина, коринка, окринъ, одинъ, ширина, рана	 distance == 2
from девятдесятъ	 to 	девятьдесятъ	 distance == 1
from деревляне	 to 	древле, деревня	 distance == 3
from примучити	 to 	примирити, помучити, присудити, прикупити, примѣнити, принудити, примѣчати, премочити, примѣсити, примѣтити, притупити	 distance == 2
from куна	 to 	куча, кана, луна, куща, кума, купа	 distance == 1
from сѣверянинъ	 to 	северианинъ, берянинъ, сирянинъ, самарянинъ	 distance == 3
from вы	 to 	бы, въ, выя, увы	 distance == 1
from радимичи	 to 	радити, кадиминъ	 distance == 3
from щлягъ	 to 	слогъ, плугъ, ляхъ, лугъ	 distance == 2
from поляне	 to 	поляна	 distance == 1
from уличи	 to 	улица, улий, тлити, кличь, хулити, уличити, слити, лити, влити, улещи, учити, сличие, убити, угличь	 distance == 2
from тиверци	 to 	твердо, твердь, дверца, твержа, ивериа	 distance == 3
from леонъ	 to 	елеонъ, феонъ, ленъ, геонъ, пеонъ	 distance == 1
from цѣсарствовати	 to 	царствовати	 distance == 2
from александръ	 to 	александровъ, александриа	 distance == 2
from двадесяти	 to 	двадесять	 distance == 1
from вежа	 to 	вапа, вина, кожа, ваиа, вефъ, мрежа, вчера, мега, сажа, вода, вила, вана, неже, мета, весна, ежъ, хижа, чета, вала, гефа, теща, еда, жена, твержа, нева, вѣра, весь, бера, вота, леха, ржа, фера, лжа, верба, вещь, вира	 distance == 2
from половци	 to 	ползти, воловий, покоити, воловый, поливати, поновити, головня, помощи, полѣнце, олово, положити, полевый, ползати, половина	 distance == 3
from ту	 to 	у	 distance == 1
from словѣнский	 to 	словенский	 distance == 1
from посемь	 to 	посему, посемъ	 distance == 1
from угорский	 to 	удорский, югорский, горский	 distance == 1
from доже	 to 	ложе, даже	 distance == 1
from морава	 to 	фарава, москва, отрава, арава, крава, трава, молва, моавъ	 distance == 2
from чехъ	 to 	чрезъ, уецъ, чепь, вефъ, левъ, безъ, чело, ленъ, бефъ, ежъ, верхъ, членъ, чета, духъ, счетъ, гелъ, чинъ, гефъ, медъ, часъ, ляхъ, чрепъ, ледъ, тефъ, чтецъ, песъ, мѣхъ, леха, мохъ	 distance == 2
from дунаи	 to 	думати, душа, дуга, дунути, луна, дути	 distance == 2
from первое	 to 	перие, вервие, первый	 distance == 2
from прѣложити	 to 	преложити, приложити	 distance == 1
from болгаре	 to 	болгария	 distance == 2
from дунаиский	 to 	синадский, унитский, синайский, дубенский, кенайский, винарский, донский, дечанский, фанахский	 distance == 3
from ростиславъ	 to 	составъ, родословъ, постилати, поставъ, ростовъ	 distance == 4
from святополкъ	 to 	святогорецъ, свитокъ	 distance == 4
from коцелъ	 to 	котелъ, козелъ	 distance == 1
from онако	 to 	однако, онамо, инако	 distance == 1
from мефодий	 to 	многий, героний, гефский, мефодиевъ, мерзкий	 distance == 3
from костянтинъ	 to 	константинь, китянинъ, понтянинъ, коритянинъ, критянинъ	 distance == 3
from сставливати	 to 	сравнивати, останавливати	 distance == 3
from азбуковный	 to 	азбучный, зубовный	 distance == 3
from словѣнски	 to 	словенский	 distance == 2
from евангелие	 to 	еиангелие	 distance == 1
from радый	 to 	адой, малый, рябый, младый, ратный, рудный, рай, ради, радъ, худый, жадный, каждый, рабий, равный, сѣдый, радивый, разный, родный, ранный, ржавый, рабный, ратай, самый, правый, градный	 distance == 2
from псалтырь	 to 	псалтирь	 distance == 1
from охтаикъ	 to 	облакъ, итакъ, оптинъ, ситникъ, похотникъ, постникъ, отрокъ, отокъ, общникъ, халкъ, аттакъ, ратникъ, щитникъ, сотникъ, атаимъ, такъ, путникъ, стоикъ, останокъ, охридъ, октоихъ, остатокъ, мытникъ	 distance == 3
from буки	 to 	обути, жукъ, тукъ, буяти, мука, лукъ, буря, буква, рука, быти, бити, бокъ, паки, дути, буий, аки	 distance == 2
from латини	 to 	латинъ	 distance == 1
from папежь	 to 	падежъ, паперть	 distance == 2
from взглаголати	 to 	возглаголати, изглаголати	 distance == 1
from отвѣщевати	 to 	отвѣщавати	 distance == 1
from донде	 to 	ондѣ, дание, дондеже, соние, долѣе, поне, дождь	 distance == 2
from ватрь	 to 	вактры, варъ, ваель, ваань, тварь, тать, внутрь, вѣтръ, ватне, вѣтвь, рать, царь, вратарь, вепрь, латра	 distance == 2
from полудние	 to 	получение	 distance == 2
from кождо	 to 	когда, кииждо, кожа, косно, коло, гордо, чуждо, кийждо, вождь, дождь, ложно	 distance == 2
from нектанъ	 to 	нектаръ	 distance == 1
from фалекъ	 to 	фалетъ, фалефъ	 distance == 1
from сенаръ	 to 	сеиръ, сеннааръ, саниръ, сваръ, вефаръ, семиръ, гераръ	 distance == 2
from четыредесяте	 to 	четыредесять	 distance == 1
from совршити	 to 	совершити	 distance == 1
from расѣяти	 to 	насѣяти, разсѣяти, распяти	 distance == 1
from размѣшение	 to 	разрѣшение, размѣрение	 distance == 1
from промежи	 to 	промежь	 distance == 1
from всточный	 to 	восточный	 distance == 1
from афетовъ	 to 	афековъ	 distance == 1
