from встокъ	 to 	востокъ	 distance == 1
from тоже	 to 	уже	 distance == 2
from из	 to 	изъ	 distance == 1
from братръ	 to 	братия	 distance == 2
from то	 to 	ово	 distance == 2
from идти	 to 	ити	 distance == 1
from прийти	 to 	приити	 distance == 1
from всхотѣти	 to 	восхотѣти	 distance == 1
from третий	 to 	утрений	 distance == 2
from тгда	 to 	тогда	 distance == 1
from взлюбити	 to 	возлюбити	 distance == 1
from таже	 to 	даже	 distance == 1
from отець	 to 	отецъ	 distance == 1
from взложити	 to 	возложити	 distance == 1
from безаконникъ	 to 	беззаконникъ	 distance == 1
from конець	 to 	конецъ	 distance == 1
from симъ	 to 	сомъ	 distance == 1
from володѣти	 to 	оледѣти	 distance == 2
from свои	 to 	вои	 distance == 1
from словѣнинъ	 to 	славянинъ	 distance == 2
from рюрикъ	 to 	крикъ	 distance == 2
from прѣже	 to 	прежде	 distance == 1
from мужь	 to 	мужъ	 distance == 1
from полотескъ	 to 	полотскъ	 distance == 1
from другый	 to 	другий	 distance == 1
from находникъ	 to 	сходникъ	 distance == 2
from меря	 to 	мѣра	 distance == 1
from бояринъ	 to 	боляринъ	 distance == 1
from впрашати	 to 	вопрошати	 distance == 2
from щекъ	 to 	вѣкъ	 distance == 1
from козаре	 to 	козарь	 distance == 1
from диръ	 to 	деиръ	 distance == 1
from владѣти	 to 	овладѣти	 distance == 1
from полский	 to 	польский	 distance == 1
from михаилъ	 to 	еихаитъ	 distance == 2
from цѣсарь	 to 	кесарь	 distance == 1
from отити	 to 	отыти	 distance == 1
from хрестиянинъ	 to 	христианинъ	 distance == 2
from оступити	 to 	ступити	 distance == 1
from фотий	 to 	фотъ	 distance == 2
from погрести	 to 	погребсти	 distance == 1
from божествный	 to 	божественный	 distance == 2
from засобь	 to 	особь	 distance == 2
from взвратити	 to 	возвратити	 distance == 1
from олегъ	 to 	лугъ	 distance == 2
from меря	 to 	мѣра	 distance == 1
from смольнескъ	 to 	смоленскъ	 distance == 2
from писмя	 to 	письмя	 distance == 1
from всхвалити	 to 	восхвалити	 distance == 1
from потомь	 to 	потомъ	 distance == 1
from оттуда	 to 	оттуду	 distance == 1
from назади	 to 	назадъ	 distance == 1
from игорь	 to 	игра	 distance == 2
from диръ	 to 	деиръ	 distance == 1
from выскакати	 to 	возскакати	 distance == 2
from олминый	 to 	ослиный	 distance == 2
from никола	 to 	ника	 distance == 2
from орина	 to 	рана	 distance == 2
from куна	 to 	кана	 distance == 1
from сѣверянинъ	 to 	северианинъ	 distance == 2
from уличи	 to 	улий	 distance == 2
from цѣсарствовати	 to 	царствовати	 distance == 2
from вежа	 to 	вѣра	 distance == 1
from словѣнский	 to 	славенский	 distance == 1
from посемь	 to 	посемъ	 distance == 1
from доже	 to 	уже	 distance == 2
from чехъ	 to 	мѣхъ	 distance == 1
from онако	 to 	инако	 distance == 1
from евангелие	 to 	еиангелие	 distance == 1
from еврѣи	 to 	еврей	 distance == 1
from латини	 to 	латинъ	 distance == 1
from папежь	 to 	падежъ	 distance == 2
from взглаголати	 to 	возглаголати	 distance == 1
from отвѣщевати	 to 	отвѣщавати	 distance == 1
from полудние	 to 	получение	 distance == 2
from нектанъ	 to 	нектаръ	 distance == 1
from сенаръ	 to 	сваръ	 distance == 2
from совршити	 to 	совершити	 distance == 1
from всточный	 to 	восточный	 distance == 1
from афетовъ	 to 	афековъ	 distance == 1
from врѣмя	 to 	бремя	 distance == 1
from наречи	 to 	нарещи	 distance == 1
from сербь	 to 	сербъ	 distance == 1
from наити	 to 	найти	 distance == 1
from висла	 to 	вила	 distance == 1
from межу	 to 	между	 distance == 1
from припеть	 to 	причетъ	 distance == 2
from втечи	 to 	втещи	 distance == 1
from полота	 to 	полнота	 distance == 1
from озеро	 to 	езеро	 distance == 1
from десна	 to 	весна	 distance == 1
from волокъ	 to 	волкъ	 distance == 1
from волховъ	 to 	волхвъ	 distance == 1
from нево	 to 	небо	 distance == 1
from семь	 to 	сомъ	 distance == 2
from усть	 to 	ость	 distance == 1
from оковский	 to 	конский	 distance == 2
from хвалисы	 to 	хвалитны	 distance == 2
from жрѣбий	 to 	врабий	 distance == 2
from слути	 to 	слити	 distance == 1
from днѣпреский	 to 	днѣпровский	 distance == 2
from благодѣть	 to 	благодать	 distance == 1
from послѣже	 to 	послѣжде	 distance == 1
from обычаи	 to 	обычай	 distance == 1
from хвостати	 to 	встати	 distance == 2
from дрѣвяный	 to 	древный	 distance == 1
from свлѣщи	 to 	совлещи	 distance == 1
from облити	 to 	облияти	 distance == 1
from прутие	 to 	пружие	 distance == 1
from вылѣзти	 to 	влѣзти	 distance == 1
from увозъ	 to 	возъ	 distance == 1
from боръ	 to 	баръ	 distance == 1
from перевозникъ	 to 	переводчикъ	 distance == 2
from перевозъ	 to 	переводъ	 distance == 1
from опять	 to 	вспять	 distance == 2
from срубити	 to 	трубити	 distance == 1
from волга	 to 	волна	 distance == 1
from ока	 to 	оса	 distance == 1
from бугъ	 to 	богъ	 distance == 1
from печера	 to 	пещера	 distance == 1
from ямь	 to 	яма	 distance == 1
from корсь	 to 	кора	 distance == 2
from нерома	 to 	ерма	 distance == 2
from скуфъ	 to 	скифъ	 distance == 1
from обринъ	 to 	окринъ	 distance == 1
from дулѣбский	 to 	дубенский	 distance == 2
from впрячи	 to 	впрящи	 distance == 1
from телѣга	 to 	пелена	 distance == 2
from помрѣти	 to 	пожрети	 distance == 1
from радимъ	 to 	кадимъ	 distance == 1
from ока	 to 	оса	 distance == 1
from множство	 to 	множество	 distance == 1
from скуфь	 to 	скука	 distance == 2
from прѣдание	 to 	продание	 distance == 1
from снха	 to 	сноха	 distance == 1
from зятъ	 to 	зять	 distance == 1
from скотски	 to 	плотски	 distance == 2
from умыкивати	 to 	умывати	 distance == 2
from умыкати	 to 	умывати	 distance == 1
from полата	 to 	палата	 distance == 1
from мꙑсль	 to 	мысль	 distance == 1
from малꙑ	 to 	малеа	 distance == 2
from петръ	 to 	вѣтръ	 distance == 1
from соломонъ	 to 	солохонъ	 distance == 1
from оубивати	 to 	убивати	 distance == 1
from мѣсяць	 to 	мѣсяцъ	 distance == 1
from мертвець	 to 	мертвецъ	 distance == 1
from судина	 to 	сѣдина	 distance == 1
from лѣтописание	 to 	сѣнописание	 distance == 2
from конець	 to 	конецъ	 distance == 1
from весма	 to 	весьма	 distance == 1
from отчина	 to 	тина	 distance == 2
from рубль	 to 	рубъ	 distance == 2
from приобидѣти	 to 	преобидѣти	 distance == 1
from отвѣчати	 to 	отвѣщати	 distance == 1
from боронити	 to 	бранити	 distance == 2
from повѣстовати	 to 	повѣствовати	 distance == 1
from толко	 to 	толико	 distance == 1
from таче	 to 	паче	 distance == 1
from естство	 to 	естество	 distance == 1
from халдѣи	 to 	халдей	 distance == 1
from сказывати	 to 	сказовати	 distance == 1
from сдумати	 to 	думати	 distance == 1
from оболонский	 to 	полонский	 distance == 2
from сжа	 to 	сажа	 distance == 1
from гилий	 to 	милий	 distance == 1
from вздержати	 to 	воздержати	 distance == 1
from учати	 to 	учити	 distance == 1
from боярский	 to 	барский	 distance == 2
from плесковский	 to 	псковский	 distance == 2
from плесковъ	 to 	псковъ	 distance == 2
from полза	 to 	польза	 distance == 1
from левонтий	 to 	лентий	 distance == 2
from отвѣчивати	 to 	отвѣщавати	 distance == 2
from ино	 to 	уне	 distance == 2
from виноватый	 to 	виновный	 distance == 2
from пора	 to 	опора	 distance == 1
from купецский	 to 	купеческий	 distance == 2
from староста	 to 	старость	 distance == 1
from купець	 to 	купецъ	 distance == 1
from волховъ	 to 	волхвъ	 distance == 1
from священикъ	 to 	священникъ	 distance == 1
from дияконъ	 to 	диаконъ	 distance == 1
from добляти	 to 	одобряти	 distance == 2
from окрестний	 to 	окрестный	 distance == 1
from исполнь	 to 	исполу	 distance == 2
from увести	 to 	вести	 distance == 1
from торжство	 to 	торжество	 distance == 1
from празденство	 to 	празднство	 distance == 1
from врѣмя	 to 	бремя	 distance == 1
from переписати	 to 	прописати	 distance == 2
from беречи	 to 	брещи	 distance == 2
from вздоити	 to 	воздоити	 distance == 1
from вспитати	 to 	воспитати	 distance == 1
from переяти	 to 	преяти	 distance == 1
from филипъ	 to 	филитъ	 distance == 1
from купчина	 to 	купина	 distance == 1
from погонити	 to 	погоняти	 distance == 1
from владычный	 to 	владычний	 distance == 1
from переимати	 to 	преимати	 distance == 1
from нѣмець	 to 	ремень	 distance == 2
from щить	 to 	щитъ	 distance == 1
from лучий	 to 	лучший	 distance == 1
from гонець	 to 	гонецъ	 distance == 1
from стариный	 to 	старинный	 distance == 1
from прѣвратити	 to 	привратити	 distance == 1
from диякъ	 to 	ликъ	 distance == 2
from третякъ	 to 	еретикъ	 distance == 2
from окольный	 to 	кальный	 distance == 2
from козаре	 to 	козарь	 distance == 1
from старина	 to 	старица	 distance == 1
from прожити	 to 	прежити	 distance == 1
from здѣсе	 to 	здѣсь	 distance == 1
from кровопролитиѥ	 to 	кровопролитие	 distance == 1
from ссець	 to 	сосецъ	 distance == 2
from урвати	 to 	уповати	 distance == 2
from позвонити	 to 	позволити	 distance == 1
from нашствие	 to 	нашествие	 distance == 1
from старець	 to 	старецъ	 distance == 1
from козарский	 to 	казарский	 distance == 1
from доискати	 to 	поискати	 distance == 1
from сабля	 to 	капля	 distance == 2
from обоиду	 to 	обоюду	 distance == 1
from сбыти	 to 	сбити	 distance == 1
from старѣишина	 to 	старѣйшина	 distance == 1
from подяти	 to 	подъяти	 distance == 1
from побывати	 to 	побивати	 distance == 1
from вѣчий	 to 	велий	 distance == 1
from нонма	 to 	полма	 distance == 2
from приѣздъ	 to 	приходъ	 distance == 2
from прѣподобный	 to 	предподобный	 distance == 1
from васянъ	 to 	васанъ	 distance == 1
from индикий	 to 	индиктъ	 distance == 2
from сирия	 to 	сириа	 distance == 1
from ефратъ	 to 	еифратъ	 distance == 1
from аравия	 to 	аравиа	 distance == 1
from впрѣдъ	 to 	впредь	 distance == 1
from подворие	 to 	подгорие	 distance == 1
from скручати	 to 	скучати	 distance == 1
from засадити	 to 	насадити	 distance == 1
from отяти	 to 	отъяти	 distance == 1
from прилетѣти	 to 	прелетѣти	 distance == 1
from ноготъ	 to 	ноготь	 distance == 1
from дрѣво	 to 	дерево	 distance == 1
from коневый	 to 	конный	 distance == 2
from заметати	 to 	наметати	 distance == 1
from егупетъ	 to 	египетъ	 distance == 1
from ефиопия	 to 	ефиопиа	 distance == 1
from инди	 to 	индисъ	 distance == 2
from масурия	 to 	материя	 distance == 2
from мавритания	 to 	маиритания	 distance == 1
from киликия	 to 	киликиа	 distance == 1
from памфилия	 to 	памфилиа	 distance == 1
from ликия	 to 	ликиа	 distance == 1
from вифуния	 to 	вифиния	 distance == 1
from месопотамия	 to 	месопотамиа	 distance == 1
from черница	 to 	горница	 distance == 2
from полонъ	 to 	поклонъ	 distance == 1
from горший	 to 	горний	 distance == 1
from лихий	 to 	тихий	 distance == 1
from поклепъ	 to 	поклонъ	 distance == 2
from мисюрь	 to 	писарь	 distance == 2
from взлетѣти	 to 	возлетѣти	 distance == 1
from пищальникъ	 to 	печальникъ	 distance == 2
from казенный	 to 	каменный	 distance == 1
from воротникъ	 to 	вратникъ	 distance == 2
from сардания	 to 	скрания	 distance == 2
from миди	 to 	мидиа	 distance == 1
from армения	 to 	армениа	 distance == 1
from кападокия	 to 	каппадокиа	 distance == 2
from галатия	 to 	галатиа	 distance == 1
from меоти	 to 	мати	 distance == 2
from фракъ	 to 	фаракъ	 distance == 1
from македония	 to 	македониа	 distance == 1
from пеления	 to 	пелена	 distance == 2
from огорода	 to 	ограда	 distance == 2
from садникъ	 to 	всадникъ	 distance == 1
from кротовъ	 to 	китовъ	 distance == 2
from евия	 to 	выя	 distance == 2
from родона	 to 	родина	 distance == 1
from огородъ	 to 	городъ	 distance == 1
from дѣтя	 to 	дѣти	 distance == 1
from смердъ	 to 	смрадъ	 distance == 2
from раступити	 to 	растопити	 distance == 1
from тигра	 to 	игра	 distance == 1
from миды	 to 	мидъ	 distance == 1
from понетский	 to 	понтский	 distance == 1
from оттудѣ	 to 	оттуду	 distance == 1
from югра	 to 	игра	 distance == 1
from пруси	 to 	перси	 distance == 2
from противити	 to 	противоити	 distance == 1
from свеи	 to 	свей	 distance == 1
from прѣступати	 to 	приступати	 distance == 1
from скорописець	 to 	скорописецъ	 distance == 1
from достоино	 to 	достойно	 distance == 1
from вздати	 to 	воздати	 distance == 1
from романъ	 to 	соманъ	 distance == 1
