CANNOT chose from ссѣдати	 to 	ссѣцати, снѣдати, ссѣкати, сѣдати, свѣдати, всѣдати	 distance == 1
CANNOT chose from врѣменный	 to 	бременный, премѣнный	 distance == 1
CANNOT chose from княжити	 to 	пряжити, множити	 distance == 2
CANNOT chose from хамъ	 to 	вамъ, храмъ	 distance == 1
CANNOT chose from афетъ	 to 	аферъ, афекъ	 distance == 1
CANNOT chose from почати	 to 	почути, почити, поучати	 distance == 1
CANNOT chose from готе	 to 	годъ, потъ, сотъ, фотъ, гость	 distance == 2
CANNOT chose from нарядъ	 to 	нардъ, народъ	 distance == 1
CANNOT chose from нѣту	 to 	пѣти, нести, мнѣти	 distance == 2
CANNOT chose from умрѣти	 to 	узрѣти, умѣти	 distance == 1
CANNOT chose from вратити	 to 	вражити, тратити	 distance == 1
CANNOT chose from вставити	 to 	ставити, уставити, оставити	 distance == 1
CANNOT chose from ти	 to 	тай, тихо	 distance == 2
CANNOT chose from днѣпръ	 to 	деиръ, анеиръ	 distance == 2
CANNOT chose from градокъ	 to 	градъ, градежъ, градецъ	 distance == 2
CANNOT chose from асколдъ	 to 	оскордъ, расколъ	 distance == 2
CANNOT chose from скупити	 to 	скопити, искупити	 distance == 1
CANNOT chose from сꙑнъ	 to 	сонъ, санъ, сынъ	 distance == 1
CANNOT chose from приврѣщи	 to 	прирещи, привлещи	 distance == 1
CANNOT chose from лодя	 to 	луда, ложь, вода, лида, лодиа, лоза, воля, ладия, воня	 distance == 2
CANNOT chose from нъ	 to 	не, но	 distance == 1
CANNOT chose from дировъ	 to 	тировъ, ировъ, сировъ, кировъ, нировъ	 distance == 1
CANNOT chose from примучити	 to 	примирити, помучити, присудити, прикупити, примѣнити, принудити, примѣчати, премочити, примѣсити, примѣтити, притупити	 distance == 2
CANNOT chose from щлягъ	 to 	слогъ, плугъ, ляхъ, лугъ	 distance == 2
CANNOT chose from леонъ	 to 	елеонъ, ленъ	 distance == 1
CANNOT chose from ту	 to 	тупо, туне	 distance == 2
CANNOT chose from угорский	 to 	югорский, горский	 distance == 1
CANNOT chose from морава	 to 	отрава, арава, крава, трава	 distance == 2
CANNOT chose from прѣложити	 to 	предложити, приложити	 distance == 1
CANNOT chose from коцелъ	 to 	котелъ, козелъ	 distance == 1
CANNOT chose from радый	 to 	малый, рябый, младый, ратный, рудный, радъ, худый, жадный, каждый, рабий, равный, сѣдый, радивый, разный, родный, ранный, ржавый, рабный, самый, правый, градный	 distance == 2
CANNOT chose from буки	 to 	мука, буря, буква, рука	 distance == 2
CANNOT chose from ватрь	 to 	тварь, вѣтвь, рать	 distance == 2
CANNOT chose from фалекъ	 to 	фалетъ, фалефъ	 distance == 1
CANNOT chose from расѣяти	 to 	насѣяти, разсѣяти, распяти	 distance == 1
CANNOT chose from размѣшение	 to 	разрѣшение, размѣрение	 distance == 1
CANNOT chose from асуръ	 to 	суръ, асоръ	 distance == 1
CANNOT chose from насиляти	 to 	населяти, насилити	 distance == 1
CANNOT chose from двина	 to 	вина, длина	 distance == 1
CANNOT chose from рѣчка	 to 	ручка, рѣка	 distance == 1
CANNOT chose from особѣ	 to 	особо, особь, особнѣ	 distance == 1
CANNOT chose from ловоть	 to 	новость, похоть, голоть	 distance == 2
CANNOT chose from полянинъ	 to 	боляринъ, понтянинъ, поганинъ	 distance == 2
CANNOT chose from синопия	 to 	симония, киновия	 distance == 2
CANNOT chose from горѣ	 to 	годѣ, горцѣ	 distance == 1
CANNOT chose from всияти	 to 	всѣяти, влияти, всиляти, осияти, сияти	 distance == 1
CANNOT chose from рамяно	 to 	срамно, равно, рано	 distance == 2
CANNOT chose from добити	 to 	побити, доити, обити	 distance == 1
CANNOT chose from мвение	 to 	швение, мщение, рвение	 distance == 1
CANNOT chose from смысльный	 to 	смысленный, помысльный	 distance == 2
CANNOT chose from городище	 to 	горлище, годище, гробище	 distance == 2
CANNOT chose from мордва	 to 	москва, молва	 distance == 2
CANNOT chose from либь	 to 	ложь, лида, нить, лива, любы, лира	 distance == 2
CANNOT chose from дулѣбъ	 to 	далефъ, хлѣбъ	 distance == 2
CANNOT chose from поѣхати	 to 	пѣвати, ѣхати, пхати	 distance == 2
CANNOT chose from потрѣбити	 to 	употребити, отребити	 distance == 1
CANNOT chose from наслѣдокъ	 to 	наслѣдникъ, послѣдокъ	 distance == 2
CANNOT chose from олга	 to 	онега, нога, омега, лжа	 distance == 2
CANNOT chose from дѣверъ	 to 	сѣверъ, деворъ	 distance == 1
CANNOT chose from звѣринский	 to 	звѣрский, иверийский	 distance == 2
CANNOT chose from прѣдъ	 to 	чрезъ, подъ	 distance == 2
CANNOT chose from клада	 to 	охлада, еллада	 distance == 2
CANNOT chose from сирий	 to 	сардий, фириа, милий, синай, суфий, кирие, сарей, стрый	 distance == 2
CANNOT chose from приѣхати	 to 	приимати, прилетати, причетати, привѣщати, прилежати, приткати, приздати, припѣвати, прибѣжати, притекати, прижати, примѣшати, прибѣгати, придати, примѣчати, прещати, предати, прислати, признати, присѣщати, приметати, призвати, пригнати, причтати, пристати	 distance == 2
CANNOT chose from юрий	 to 	улий, рай, елий, край, змий, рой, маий	 distance == 2
CANNOT chose from посадникъ	 to 	посредникъ, всадникъ	 distance == 2
CANNOT chose from o	 to 	о, у	 distance == 1
CANNOT chose from жалование	 to 	чарование, милование, радование, цѣлование, дарование	 distance == 2
CANNOT chose from иванъ	 to 	чванъ, ливанъ	 distance == 1
CANNOT chose from нутреный	 to 	вѣтреный, утрений, нетренный	 distance == 2
CANNOT chose from вѣче	 to 	вѣсъ, вѣкъ	 distance == 2
CANNOT chose from де	 to 	гдѣ, здѣ	 distance == 1
CANNOT chose from пошлина	 to 	долина, поляна	 distance == 2
CANNOT chose from дума	 to 	душа, дуга, кума	 distance == 1
CANNOT chose from управа	 to 	правда, праща, отрава, арава, крава, утрата, пава, трава, дубрава	 distance == 2
CANNOT chose from жалобный	 to 	лобный, надобный, жалостный, алойный, злобный	 distance == 2
CANNOT chose from выйдти	 to 	высити, выняти, выдати	 distance == 2
CANNOT chose from копити	 to 	купити, копати	 distance == 1
CANNOT chose from тягати	 to 	тязати, стягати	 distance == 1
CANNOT chose from софия	 to 	кония, колия, сотня, солея	 distance == 2
CANNOT chose from безаконный	 to 	беззаконный, незаконный	 distance == 1
CANNOT chose from бесловесный	 to 	несловесный, безсловесный	 distance == 1
CANNOT chose from бояти	 to 	буяти, баяти	 distance == 1
CANNOT chose from спросити	 to 	спросияти, испросити	 distance == 1
CANNOT chose from русия	 to 	русь, грузия	 distance == 2
CANNOT chose from тутъ	 to 	тупо, туне	 distance == 2
CANNOT chose from разбѣгнути	 to 	избѣгнути, развергнути, разгнути	 distance == 2
CANNOT chose from полоняный	 to 	плотяный, волняный	 distance == 2
CANNOT chose from хомѣкъ	 to 	хромецъ, хелекъ, амекъ, аемекъ, ометъ	 distance == 2
CANNOT chose from сусолъ	 to 	столъ, суфалъ, сосилъ, посолъ, кусокъ, сурожъ, удолъ, узолъ	 distance == 2
CANNOT chose from веряжа	 to 	верига, твержа, вѣра, верста, верба	 distance == 2
CANNOT chose from товаръ	 to 	ховаръ, поваръ	 distance == 1
CANNOT chose from смага	 to 	сажа, смута, влага, смола, скала, слава, бумага, омега, самара	 distance == 2
CANNOT chose from запирати	 to 	запинати, зазирати, записати	 distance == 1
CANNOT chose from сотский	 to 	скотский, сорский	 distance == 1
CANNOT chose from отговорити	 to 	отворити, говорити	 distance == 2
CANNOT chose from ано	 to 	амо, рано, ако	 distance == 1
CANNOT chose from заплакати	 to 	заплевати, заплатити, плакати, оплакати	 distance == 2
CANNOT chose from налѣзти	 to 	взлѣзти, насѣяти, надѣяти, навести, налетѣти, излѣзти, надѣти, жалѣти, напѣти, налегати, нанести, належати, налещи, влѣзти, налити, слѣзти, налияти, облѣзти	 distance == 2
CANNOT chose from днесный	 to 	дневный, десный	 distance == 1
CANNOT chose from прѣжний	 to 	предний, преждний	 distance == 1
CANNOT chose from запрѣти	 to 	зазрѣти, запѣти	 distance == 1
CANNOT chose from стратоникъ	 to 	соратникъ, стражникъ, странникъ	 distance == 2
CANNOT chose from повезти	 to 	довезти, повести	 distance == 1
CANNOT chose from хабаровъ	 to 	хаверовъ, гааровъ, сааровъ, халазовъ, асаровъ	 distance == 2
