lemma;id;part_of_speech;forms
быти;120247;verb;3rd p., sg., pres., ind., act., infl.:есть,етсь,е,ес,ѥсть,ѥ,естъ,єс|pl., pres., part., act., m., dat., weak, infl.:сущимъ,сущим,сѹщиимъ,сѹщимъ,соущимъ|3rd p., sg., aor., ind., act., infl.:быс,бы,быша,бысть,б҃ы,Быс,беѣ,бꙑсть,бъ,бе,бь,б,быст,быстъ,бы҃с,быс҃,быстʼ|3rd p., pl., pres., ind., act., infl.:суть,сутъ,сут,Суть,сѹть,сѹт,бдуть,соуть|3rd p., sg., imperf., ind., act., infl.:бѣ,бѧше,будѧше,бѧшеть,Бѣ,бѣаше,бяше,бꙗше,бꙗаше,бѹдꙗше,бѹдѧше|pl., pres., part., act., m., acc., weak, infl.:сущая|3rd p., pl., fut., ind., act., infl.:будуть,будть,будут,бѹдѹтъ,бѹдѹт,бѹдть,буть,бдуть,будутъ,бѹдѹть,боудꙋть|sg., past, part., act., m., nom., strong, infl.:бывъ,быв,Бывъ,бывше|3rd p., pl., imperf., ind., act., infl.:бѧху,бѣша,бѧх,бѣяху,бѣаша,бѧхȣть,бѣахѹть,бѧхꙋ|3rd p., pl., aor., ind., act., infl.:быша|sg., result., part., act., m., nom., strong, infl.:былъ,был|pres., inf., act., infl.:быти,бꙑти,быт,быть|pl., pres., part., act., m., nom., strong, infl.:суще,сущи,сѹще,соущи,соуще,сꙋщи|3rd p., du., imperf., ind., act., infl.:бѧста,бѣста|1st p., pl., imperf., ind., act., infl.:бѧхомъ|pl., result., part., act., n., nom., strong, infl.:была,были|sg., pres., part., act., f., dat., weak, infl.:сущеи|sg., pres., part., act., f., dat., strong, infl.:сущи,суще,сѹщи,сѹще|sg., pres., part., act., m., gen., strong, infl.:суща,сѹща,сȣща,соуща|1st p., sg., pres., ind., act., infl.:есмь,ѥсмь,ѥсмъ,есмъ,емь,есми|3rd p., sg., pres., imp., act., infl.:буди,буд,ест,бѹди,бѹт,бѹдь,бѹд|3rd p., du., aor., ind., act., infl.:быста,бѣста,бꙑста|3rd p., sg., fut., ind., act., infl.:будеть,будетъ,буде,будет,бѹдетъ,бѹдеть,бѹдет,бѹдѣтъ,бѹде,боудеть,боудет,боудетъ,бꙋдет|sg., past, part., act., f., dat., strong, infl.:бывши,бывъши|sg., past, part., act., n., loc., weak, infl.:бывшемъ|sg., past, part., act., n., gen., weak, infl.:бывшаго|sg., fut., part., act., m., acc., weak, infl.:будущии,будущїи,бѹдѹщии,бѹдѹщиї|sg., fut., part., act., m., nom., weak, infl.:будущии|pl., pres., part., act., m., gen., weak, infl.:сущихъ,сѹщиихъ|1st p., pl., pres., ind., act., infl.:есмы,ѥсмы,Есмя,есме,есмъ,єсмѧ,есмѧ|pl., fut., part., act., m., acc., weak, infl.:будущая|2nd p., sg., pres., ind., act., infl.:еси,ѥси,бѹдеши|1st p., pl., aor., ind., act., infl.:быхомъ,быхом,бѧхом|2nd p., pl., pres., ind., act., infl.:есте,ѥсте,ще,естя|pl., past, part., act., m., nom., strong, infl.:бывше,бывъше|sg., pres., part., act., f., acc., strong, infl.:сущю,сѹщю,сѹщȣ|sg., past, part., act., f., nom., strong, infl.:бывши|1st p., sg., fut., ind., act., infl.:буду,бѹдѹ|2nd p., sg., pres., imp., act., infl.:буди,бѹди|sg., pres., part., act., f., nom., strong, infl.:суща,сѹщи,соущи|pl., past, part., act., n., acc., weak, infl.:бывшая|1st p., pl., fut., ind., act., infl.:будемъ,будем|sg., result., part., act., f., nom., strong, infl.:была|pl., result., part., act., m., nom., strong, infl.:были|2nd p., pl., aor., ind., act., infl.:бысте,бѣсте|sg., pres., part., act., n., gen., weak, infl.:сущаго,сѹщаго|2nd p., du., fut., ind., act., infl.:будета|3rd p., du., pres., ind., act., infl.:еста,ѥста|2nd p., sg., fut., ind., act., infl.:будеши,боудши,бѹдеши,бѹдешї,будеш,будешъ|pl., past, part., act., m., dat., weak, infl.:бывшимъ|sg., past, part., act., m., dat., strong, infl.:бывшю,бывъшю,бывшꙋ|sg., pres., part., act., m., nom., weak, infl.:сыи,соущїи|sg., result., part., act., n., nom., strong, infl.:было|sg., past, part., act., n., acc., weak, infl.:бывшее,бывъшеѥ,бывшеє|sg., past, part., act., f., acc., strong, infl.:бывшю,бывши|pl., pres., part., act., m., acc., strong, infl.:суща,сѹща|pl., pres., part., act., m., dat., strong, infl.:сущемъ,сѹщемъ|sg., pres., part., act., m., dat., strong, infl.:сущю,сѹщю,сущу,сѹщѹ,сѹщȣ|1st p., sg., aor., ind., act., infl.:быхъ,бых,бѧхъ|2nd p., du., aor., ind., act., infl.:быста|du., pres., part., act., m., nom., strong, infl.:суща|2nd p., du., pres., ind., act., infl.:еста,ѥста|sg., pres., part., act., f., acc., weak, infl.:сущюю|sg., pres., part., act., m., acc., strong, infl.:сущи,сѹщь|sg., pres., part., act., n., dat., strong, infl.:сущю,сѹщю,сѹщѹ,соущꙋ|2nd p., pl., fut., ind., act., infl.:будете,будет,бѹдете|1st p., du., pres., ind., act., infl.:есвѣ|1st p., sg., imperf., ind., act., infl.:бѣхъ,бѣх,бых|1st p., du., fut., ind., act., infl.:будевѣ,бѹдевѣ|pl., result., part., act., f., nom., strong, infl.:были|sg., past, part., act., n., dat., strong, infl.:бывшю,бывъшю,бывшꙋ|sg., pres., part., act., m., gen., weak, infl.:сущаго,сѹщааго|pl., pres., part., act., m., nom., weak, infl.:сущии,сѹщеи,соущїи|pl., pres., part., act., m., ins., weak, infl.:сущими,сѹщиими,сꙋщими|sg., fut., part., act., m., gen., weak, infl.:бѹдѹщаго|du., pres., part., act., m., gen., strong, infl.:сѹщю|du., past, part., act., m., gen., strong, infl.:бывъшю|2nd p., sg., aor., ind., act., infl.:бысть,бы|2nd p., pl., pres., imp., act., infl.:будѣте|sg., fut., part., act., m., loc., weak, infl.:бѹдщемъ,бѹдѹщемъ,будущем|pl., pres., part., act., n., nom., weak, infl.:сущие|sg., pres., part., act., n., nom., weak, infl.:сущее|sg., past, part., act., m., nom., weak, infl.:бывыи|sg., pres., part., act., m., nom., strong, infl.:сы,си,сѹщь|sg., past, part., act., m., gen., strong, infl.:бывъша|2nd p., sg., imperf., ind., act., infl.:бѣ|pl., pres., part., act., m., loc., weak, infl.:сѹщиихъ|sg., pres., part., act., n., nom., strong, infl.:сѹще|pl., pres., part., act., n., acc., strong, infl.:сѹща|sg., pres., part., act., f., nom., weak, infl.:сѹщаꙗ|sg., pres., part., act., n., acc., strong, infl.:сѹще|pl., pres., part., act., n., gen., weak, infl.:сѹщиихъ|sg., pres., part., act., m., acc., weak, infl.:сѹщии|pl., pres., part., act., n., acc., weak, infl.:сѹщаꙗ,сѹщаѧ,соущаѧ|pl., pres., part., act., n., dat., strong, infl.:сѹщемъ|sg., pres., part., act., m., dat., weak, infl.:сѹщюѹмѹ|pl., past, part., act., m., nom., weak, infl.:бывъшеи|1st p., pl., pres., imp., act., infl.:бѹдѣмъ|pl., past, part., act., m., dat., strong, infl.:бывъшемъ|sg., pres., part., act., n., gen., strong, infl.:сѹща|du., pres., part., act., m., dat., strong, infl.:сѹщема|pl., past, part., act., m., gen., weak, infl.:бывъшиихъ,бывших
къто;120250;indefinite pronoun;sg., m., nom., infl.:кто,хто,къто|sg., m./f./n., nom., infl.:хто,кто|sg., m., gen., infl.:кого,когѡ|sg., m., dat., infl.:кому,комѹ|sg., m., ins., infl.:кѣмъ,кемъ|sg., m., loc., infl.:комъ|sg., n., loc., infl.:комъ
въ;120251;preposition;non-infl.:въ,в,во,Въ,В,у,въ.,оу,ве,вь,а,вʼ,в꙽
FIXME;120252;adverb;non-infl.:раядкио,сикишь,говѣино,высоко,цр҃ѧградскы,гѫзно,пѹрьскы,заговѣине,примѣтамъ,хрстьꙗньскы,ѡл꙽ло,еди,ѹрѹчь
и;120253;conjunction;non-infl.:и,И,ї,ι,i,ꙇ,і,н
земля;120254;common noun;sg., f., nom., infl.:земѧ,землѧ,земля,землꙗ|sg., f., acc., infl.:землю,зелмю,земьлю|sg., f., gen., infl.:землѣ,землѧ,земли,землꙗ|sg., f., loc., infl.:земли,землѣ,земьли,земле,змли,землї|sg., f., dat., infl.:земли,землі,землѣ|pl., f., gen., infl.:земль,земель|sg., f., ins., infl.:землею|pl., f., acc., infl.:землѣ,земли,земля|pl., f., dat., infl.:землѧмъ,землѧм,землꙗмъ,зѣмлꙗмъ|sg., f., voc., infl.:земле|pl., f., loc., infl.:землѧхъ
се;120255;interjection;non-infl.:Се,се,си
повѣсть;120256;common noun;pl., f., nom., infl.:повѣсти|sg., f., acc., infl.:повѣсть,повесть|sg., f., nom., infl.:повѣсть
по;120258;preposition;non-infl.:по,По,по.
въстокъ;120259;common noun;sg., m., nom., infl.:въстокъ|sg., m., gen., infl.:въстока,стока,востока|sg., m., acc., infl.:въстокъ,встокъ,восток,востокъ|sg., m., dat., infl.:востокомъ,въстоку,встоку,востоку|sg., m., loc., infl.:въстоцѣ|sg., m., ins., infl.:встокомь
